日期,股票代码,名称,涨跌幅
2019-05-17,'000001,上证指数,-2.4838
2019-05-16,'000001,上证指数,0.5796
2019-05-15,'000001,上证指数,1.9097
2019-05-14,'000001,上证指数,-0.6923
2019-05-13,'000001,上证指数,-1.2077
2019-05-10,'000001,上证指数,3.0957
2019-05-09,'000001,上证指数,-1.4791
2019-05-08,'000001,上证指数,-1.1152
2019-05-07,'000001,上证指数,0.6856
2019-05-06,'000001,上证指数,-5.5834
2019-04-30,'000001,上证指数,0.5172
2019-04-29,'000001,上证指数,-0.7744
2019-04-26,'000001,上证指数,-1.1981
2019-04-25,'000001,上证指数,-2.4296
2019-04-24,'000001,上证指数,0.0944
2019-04-23,'000001,上证指数,-0.5116
2019-04-22,'000001,上证指数,-1.7046
2019-04-19,'000001,上证指数,0.6337
2019-04-18,'000001,上证指数,-0.3958
2019-04-17,'000001,上证指数,0.2926
2019-04-16,'000001,上证指数,2.3857
2019-04-15,'000001,上证指数,-0.3399
2019-04-12,'000001,上证指数,-0.0419
2019-04-11,'000001,上证指数,-1.603
2019-04-10,'000001,上证指数,0.0699
2019-04-09,'000001,上证指数,-0.1586
2019-04-08,'000001,上证指数,-0.0542
2019-04-04,'000001,上证指数,0.9413
2019-04-03,'000001,上证指数,1.2425
2019-04-02,'000001,上证指数,0.2038
2019-04-01,'000001,上证指数,2.5755
2019-03-29,'000001,上证指数,3.1992
2019-03-28,'000001,上证指数,-0.9189
2019-03-27,'000001,上证指数,0.855
2019-03-26,'000001,上证指数,-1.5095
2019-03-25,'000001,上证指数,-1.9689
2019-03-22,'000001,上证指数,0.0869
2019-03-21,'000001,上证指数,0.3499
2019-03-20,'000001,上证指数,-0.0108
2019-03-19,'000001,上证指数,-0.1758
2019-03-18,'000001,上证指数,2.471
2019-03-15,'000001,上证指数,1.0388
2019-03-14,'000001,上证指数,-1.1981
2019-03-13,'000001,上证指数,-1.09
2019-03-12,'000001,上证指数,1.1006
2019-03-11,'000001,上证指数,1.9237
2019-03-08,'000001,上证指数,-4.3959
2019-03-07,'000001,上证指数,0.1392
2019-03-06,'000001,上证指数,1.5668
2019-03-05,'000001,上证指数,0.8809
2019-03-04,'000001,上证指数,1.1213
2019-03-01,'000001,上证指数,1.8039
2019-02-28,'000001,上证指数,-0.4357
2019-02-27,'000001,上证指数,0.4184
2019-02-26,'000001,上证指数,-0.6675
2019-02-25,'000001,上证指数,5.6007
2019-02-22,'000001,上证指数,1.9051
2019-02-21,'000001,上证指数,-0.3411
2019-02-20,'000001,上证指数,0.2022
2019-02-19,'000001,上证指数,0.0468
2019-02-18,'000001,上证指数,2.6831
2019-02-15,'000001,上证指数,-1.372
2019-02-14,'000001,上证指数,-0.0503
2019-02-13,'000001,上证指数,1.8404
2019-02-12,'000001,上证指数,0.6782
2019-02-11,'000001,上证指数,1.3621
2019-02-01,'000001,上证指数,1.3023
2019-01-31,'000001,上证指数,0.3493
2019-01-30,'000001,上证指数,-0.72
2019-01-29,'000001,上证指数,-0.1049
2019-01-28,'000001,上证指数,-0.1824
2019-01-25,'000001,上证指数,0.387
2019-01-24,'000001,上证指数,0.4142
2019-01-23,'000001,上证指数,0.0504
2019-01-22,'000001,上证指数,-1.18
2019-01-21,'000001,上证指数,0.5587
2019-01-18,'000001,上证指数,1.4208
2019-01-17,'000001,上证指数,-0.4196
2019-01-16,'000001,上证指数,0.003
2019-01-15,'000001,上证指数,1.3637
2019-01-14,'000001,上证指数,-0.7074
2019-01-11,'000001,上证指数,0.7389
2019-01-10,'000001,上证指数,-0.3634
2019-01-09,'000001,上证指数,0.7078
2019-01-08,'000001,上证指数,-0.2616
2019-01-07,'000001,上证指数,0.7245
2019-01-04,'000001,上证指数,2.0494
2019-01-03,'000001,上证指数,-0.0377
2019-01-02,'000001,上证指数,-1.147
2018-12-28,'000001,上证指数,0.4353
2018-12-27,'000001,上证指数,-0.6087
2018-12-26,'000001,上证指数,-0.2605
2018-12-25,'000001,上证指数,-0.878
2018-12-24,'000001,上证指数,0.4275
2018-12-21,'000001,上证指数,-0.7892
2018-12-20,'000001,上证指数,-0.5215
2018-12-19,'000001,上证指数,-1.0512
2018-12-18,'000001,上证指数,-0.8208
2018-12-17,'000001,上证指数,0.1632
2018-12-14,'000001,上证指数,-1.5303
2018-12-13,'000001,上证指数,1.2258
2018-12-12,'000001,上证指数,0.3109
2018-12-11,'000001,上证指数,0.3678
2018-12-10,'000001,上证指数,-0.8176
2018-12-07,'000001,上证指数,0.0271
2018-12-06,'000001,上证指数,-1.684
2018-12-05,'000001,上证指数,-0.6059
2018-12-04,'000001,上证指数,0.4204
2018-12-03,'000001,上证指数,2.5736
2018-11-30,'000001,上证指数,0.808
